id;title;location;fee;contact;img_url;vo_period;vo_artist;vo_member;status
1;open-source;Bedfordshire Specialist Pants;haptic Identity;eco-centric framework Handcrafted;withdrawal Chair;frictionless;Guarani withdrawal quantifying;optical blockchains;UPLOAD_PENDING
2;Product Ergonomic;Tasty;transmitting Innovative Latvian;Steel Practical;and Fantastic;Down-sized 동 bandwidth;state Loan Liaison;middleware cyan back;UPLOAD_PENDING
3;Manat;bluetooth Account;attitude grow;Avon Music;migration Officer Wooden;Officer 동;Supervisor Avon Steel;Granite;OK
4;Palladium;productize panel;24/7 HTTP clear-thinking;Infrastructure Pound teal;인천 충남;Marketing Pizza monitor;Product programming and;충북 portals;OK
5;Incredible;동;Concrete;override clicks-and-mortar;sensor virtual;Buckinghamshire exploit Visionary;Coordinator;Metal;REVISION_PENDING
6;PCI matrix Home;optimizing deposit;brand AGP;Cotton Soft;Bulgaria;울산;Object-based Refined Account;quantifying;DELETE_PENDING
7;SSL Shoes;generation;Frozen incremental 면;대구;Engineer overriding Fantastic;읍 Internal hard;technologies Incredible;Sleek connecting;REVISION_PENDING
8;Solutions;paradigm Vatu;copy;wireless;Metal Handmade Soft;Jewelery SDD Buckinghamshire;salmon data-warehouse Facilitator;Cotton Auto;OK
9;Fresh;magnetic reciprocal;제주 Towels;Cuba Coordinator;Metal;Planner Berkshire systematic;e-business;Moldovan Engineer;OK
10;Agent;SMTP Web proactive;capacitor Krona Dollar;광주;세종 Bacon Accounts;Kroon;동;Cotton Internal 부산;OK
